Experiment,Class,Images,Instances,Precision,Recall,mAP50,mAP50-95
coco_20,horse,128,272,0.466,0.542,0.496,0.329
coco_20,sheep,65,354,0.381,0.525,0.419,0.256
coco_20,cow,87,372,0.476,0.457,0.425,0.278
coco_20,elephant,89,252,0.502,0.571,0.596,0.427
coco_20,bear,49,71,0.454,0.634,0.576,0.444
coco_20,zebra,85,266,0.678,0.737,0.782,0.525
coco_20,giraffe,101,232,0.706,0.728,0.75,0.538
coco_20,backpack,228,371,0.295,0.045,0.0653,0.0358
coco_20,umbrella,174,407,0.455,0.335,0.318,0.18
coco_20,handbag,292,540,0.245,0.0259,0.0469,0.0216
coco_20,tie,145,252,0.461,0.226,0.249,0.13
coco_20,suitcase,105,299,0.377,0.107,0.121,0.0719
coco_20,frisbee,84,115,0.614,0.484,0.503,0.367
coco_20,skis,120,241,0.413,0.187,0.195,0.0848
coco_20,snowboard,49,69,0.409,0.101,0.138,0.0804
coco_20,kite,91,327,0.389,0.407,0.374,0.228
coco_20,skateboard,127,179,0.477,0.408,0.382,0.223
coco_20,surfboard,149,267,0.357,0.285,0.216,0.11
coco_20,bottle,379,1013,0.494,0.246,0.291,0.176
coco_20,cup,390,895,0.441,0.33,0.31,0.207
coco_20,fork,155,215,0.291,0.0744,0.0829,0.0396
coco_20,knife,181,325,0.301,0.0596,0.0569,0.0271
coco_20,spoon,153,253,0.163,0.0158,0.0314,0.0154
coco_20,bowl,314,623,0.423,0.377,0.358,0.252
coco_20,banana,103,370,0.334,0.127,0.147,0.069
coco_20,apple,76,236,0.264,0.106,0.0917,0.0614
coco_20,sandwich,98,177,0.396,0.328,0.273,0.173
coco_20,orange,85,285,0.348,0.27,0.218,0.171
coco_20,broccoli,71,312,0.395,0.321,0.297,0.151
coco_20,carrot,81,365,0.263,0.164,0.124,0.0669
coco_20,pizza,153,284,0.533,0.514,0.517,0.377
coco_20,donut,62,328,0.38,0.305,0.269,0.21
coco_20,cake,124,310,0.373,0.174,0.207,0.128
coco_20,chair,580,1771,0.376,0.206,0.207,0.12
coco_20,couch,195,261,0.401,0.414,0.369,0.245
coco_20,bed,149,163,0.507,0.466,0.471,0.309
coco_20,toilet,149,179,0.516,0.609,0.595,0.463
coco_20,tv,207,288,0.488,0.526,0.505,0.365
coco_20,laptop,183,231,0.483,0.446,0.457,0.34
coco_20,mouse,88,106,0.466,0.436,0.461,0.353
coco_20,remote,145,283,0.234,0.0671,0.0675,0.0394
coco_20,keyboard,106,153,0.381,0.425,0.407,0.266
coco_20,microwave,54,55,0.531,0.327,0.363,0.263
coco_20,oven,115,143,0.378,0.259,0.24,0.144
coco_20,toaster,8,9,1.0,0.0,0.0571,0.0274
coco_20,sink,187,225,0.413,0.333,0.317,0.194
coco_20,refrigerator,101,126,0.502,0.456,0.426,0.288
coco_20,book,230,1129,0.211,0.0576,0.0719,0.0267
coco_20,clock,204,267,0.516,0.519,0.533,0.335
coco_20,vase,137,274,0.354,0.179,0.199,0.122
coco_20,scissors,28,36,0.167,0.0278,0.0561,0.0396
coco_20,toothbrush,34,57,1.0,0.0,0.0204,0.00961
